identifier	linear_uuid	project	state	priority	title	url
OPN-88	497c1520-0e29-4ab3-8d61-a145fad6c4f3	OpenClaw Build Plan	Done	Medium	REC: Define recommendation DB workspace layout	https://linear.app/alex-lawson/issue/OPN-88/rec-define-recommendation-db-workspace-layout
OPN-89	3e7f5902-7d3d-4ed0-8a5d-371609d0f26f	OpenClaw Build Plan	Done	Medium	REC: Design hybrid recommendation database schema	https://linear.app/alex-lawson/issue/OPN-89/rec-design-hybrid-recommendation-database-schema
OPN-90	232f7821-d69b-4621-9ed7-b0655da3f232	OpenClaw Build Plan	Done	Medium	REC: Build idempotent import pipeline foundation	https://linear.app/alex-lawson/issue/OPN-90/rec-build-idempotent-import-pipeline-foundation
OPN-91	94530d42-1f19-4e9f-8861-88ddba75a505	OpenClaw Build Plan	Done	Medium	REC: Import Goodreads CSV into recommendation DB	https://linear.app/alex-lawson/issue/OPN-91/rec-import-goodreads-csv-into-recommendation-db
OPN-92	9496f44b-8cd1-4fdd-b570-1b8a31ca9ecc	OpenClaw Build Plan	Done	Medium	REC: Import IMDb ratings and watchlist	https://linear.app/alex-lawson/issue/OPN-92/rec-import-imdb-ratings-and-watchlist
OPN-93	96b59574-6f8b-438b-9565-df0ee174bd79	OpenClaw Build Plan	Done	Medium	REC: Import Spotify export into recommendation DB	https://linear.app/alex-lawson/issue/OPN-93/rec-import-spotify-export-into-recommendation-db
OPN-94	b4a3c927-39ab-40b4-944d-126929b97893	OpenClaw Build Plan	Done	Medium	REC: Add availability model for owned and accessible media	https://linear.app/alex-lawson/issue/OPN-94/rec-add-availability-model-for-owned-and-accessible-media
OPN-95	4a708503-0b24-43c6-a97f-d7994950adac	OpenClaw Build Plan	Done	Medium	REC: Build recommendation query v1	https://linear.app/alex-lawson/issue/OPN-95/rec-build-recommendation-query-v1
OPN-96	5697e338-7365-4472-87fc-c86a7eeaa3ca	OpenClaw Build Plan	Done	Medium	REC: Add recommendation feedback loop	https://linear.app/alex-lawson/issue/OPN-96/rec-add-recommendation-feedback-loop
OPN-97	671f38da-8e09-403f-b8d4-39b03ec504c6	OpenClaw Build Plan	Done	Medium	REC: Add MVP recommendation golden-path test	https://linear.app/alex-lawson/issue/OPN-97/rec-add-mvp-recommendation-golden-path-test
OPN-98	bf7c6a8a-bb56-4925-8de2-0b5106432619	OpenClaw Build Plan	Done	Low	REC: Document recommendation DB schema and workflows	https://linear.app/alex-lawson/issue/OPN-98/rec-document-recommendation-db-schema-and-workflows
OPN-99	da982e99-ebf9-4bc1-9663-daa742c16f2e	OpenClaw Build Plan	Done	Low	REC: Evaluate Hardcover API for book enrichment	https://linear.app/alex-lawson/issue/OPN-99/rec-evaluate-hardcover-api-for-book-enrichment
OPN-100	b3a1e980-9aaa-4527-a7b7-22cf185674eb	OpenClaw Build Plan	Done	Low	REC: Map Kindle library to book backlog	https://linear.app/alex-lawson/issue/OPN-100/rec-map-kindle-library-to-book-backlog
OPN-101	80ce2aa2-fda4-4015-88f1-9388164f9a11	OpenClaw Build Plan	Done	Low	REC: Evaluate Spotify plugin/API integration	https://linear.app/alex-lawson/issue/OPN-101/rec-evaluate-spotify-pluginapi-integration
OPN-102	073dc1c2-a1c0-4692-a8b2-cac770bdc1b0	OpenClaw Build Plan	Done	Low	REC: Import Steam library for game recommendations	https://linear.app/alex-lawson/issue/OPN-102/rec-import-steam-library-for-game-recommendations
OPN-103	48be13dd-8ea9-48cf-b26f-e84e5e731166	OpenClaw Build Plan	Done	Low	REC: Import PlayStation library for game recommendations	https://linear.app/alex-lawson/issue/OPN-103/rec-import-playstation-library-for-game-recommendations
OPN-104	6b344362-ab99-4332-a828-8eb508b1bbe7	OpenClaw Build Plan	Done	Low	REC: Evaluate Trakt sync for film and TV status	https://linear.app/alex-lawson/issue/OPN-104/rec-evaluate-trakt-sync-for-film-and-tv-status
OPN-105	62a475df-25b5-4f01-8e05-f15ecbf4ac7f	OpenClaw Build Plan	Done	Low	REC: Import Jellyfin library for film and TV availability	https://linear.app/alex-lawson/issue/OPN-105/rec-import-jellyfin-library-for-film-and-tv-availability
OPN-106	48c834b8-cad5-449a-b48e-c53b2baa65e5	OpenClaw Build Plan	Done	Low	REC: Add metadata enrichment workers	https://linear.app/alex-lawson/issue/OPN-106/rec-add-metadata-enrichment-workers
OPN-107	b5240ff3-9c7c-48df-9688-499586719d2d	OpenClaw Build Plan	Done	Low	REC: Evaluate Postgres migration path	https://linear.app/alex-lawson/issue/OPN-107/rec-evaluate-postgres-migration-path
OPN-108	31097777-cf4a-41d5-9ac2-4fb442fb86b2	OpenClaw Build Plan	Done	Low	REC: Evaluate vector recommendation sidecar	https://linear.app/alex-lawson/issue/OPN-108/rec-evaluate-vector-recommendation-sidecar
OPN-109	365289f0-2c29-4dd8-b8db-b91308d45760	OpenClaw Build Plan	Done	Medium	REC: Define source-state and canonical-state resolution model	https://linear.app/alex-lawson/issue/OPN-109/rec-define-source-state-and-canonical-state-resolution-model
